timestamp,entry_id,url,title,status,detail,replaced,verify
2026-04-19 21:00:59,17179246901377558729,https://hinyan1016.hatenablog.com/entry/2026/04/17/182021,けいれんを目撃したときの正しい対応 ― やってはいけないことと救急車を呼ぶ判断【からだの不思議 #16】,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:01:08,17179246901377325137,https://hinyan1016.hatenablog.com/entry/2026/04/17/063136,【2025年最新】高血圧の新基準と減塩対策 ― 日本人の3人に1人が該当する「沈黙の殺し屋」を徹底解説,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:08:46,17179246901372000545,https://hinyan1016.hatenablog.com/entry/2026/04/18/085038,認知症の親を病院に連れて行くには ― 受診を嫌がる場合の対処法【からだの不思議 #17】,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:08:47,17179246901377558729,https://hinyan1016.hatenablog.com/entry/2026/04/17/182021,けいれんを目撃したときの正しい対応 ― やってはいけないことと救急車を呼ぶ判断【からだの不思議 #16】,skip_already_iso,既にISO形式 (1件),0,
2026-04-19 21:08:48,17179246901377325137,https://hinyan1016.hatenablog.com/entry/2026/04/17/063136,【2025年最新】高血圧の新基準と減塩対策 ― 日本人の3人に1人が該当する「沈黙の殺し屋」を徹底解説,skip_already_iso,既にISO形式 (1件),0,
2026-04-19 21:08:51,17179246901377207371,https://hinyan1016.hatenablog.com/entry/2026/04/16/193734,ミネブロ（エサキセレノン）徹底解説｜MRA4剤比較と臨床での使い分け,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:08:54,17179246901372000531,https://hinyan1016.hatenablog.com/entry/2026/04/15/104135,「最近つまずきやすい」は脳の問題？ ― 歩行とつまずきの原因を解剖学レベルで解説【からだの不思議 #15】,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:08:57,17179246901372000527,https://hinyan1016.hatenablog.com/entry/2026/04/14/200622,しびれが出たら何科？ ― 脳神経内科・整形外科・内科の使い分け,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:01,17179246901376311807,https://hinyan1016.hatenablog.com/entry/2026/04/14/063202,お風呂で決まって意識を失う — 入浴てんかんの正体と安全対策を脳神経内科医が解説,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:04,17179246901372000485,https://hinyan1016.hatenablog.com/entry/2026/04/12/200741,"お酒を飲むと記憶がなくなる理由 ― ""ブラックアウト""のメカニズムを脳神経内科医が解説",ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:07,17179246901372000480,https://hinyan1016.hatenablog.com/entry/2026/04/11/083220,利き手はなぜ決まるのか？ ― 脳の左右非対称と遺伝のしくみ,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:10,17179246901374656842,https://hinyan1016.hatenablog.com/entry/2026/04/10/163620,OCEANIC-STROKE試験の衝撃 ― XIa因子阻害薬asundexianが脳梗塞二次予防を変える,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:12,17179246901372000475,https://hinyan1016.hatenablog.com/entry/2026/04/10/162330,脳は「痛い」と感じない？ ― 脳神経内科医が解説する痛みの仕組みと頭痛の正体,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:16,17179246901374895629,https://hinyan1016.hatenablog.com/entry/2026/04/10/141419,令和8年度診療報酬改定の全体像 ― +3.09%改定の内訳と医科の主要変更点を徹底解説,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:20,17179246901374671149,https://hinyan1016.hatenablog.com/entry/2026/04/09/174119,【2026年4月】YouTube動画まとめ｜からだの不思議・鑑別診断・脳神経内科 - Hisajiチャンネル,ok,置換 43件,43,ok: ISO 8601確認
2026-04-19 21:09:23,17179246901374646749,https://hinyan1016.hatenablog.com/entry/2026/04/09/161517,低活動性せん妄 ― 「静かなせん妄」を見逃さないための実践ガイド,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:26,17179246901372000468,https://hinyan1016.hatenablog.com/entry/2026/04/09/135347,"デジャヴの正体を神経科学で解説 ― ""既視感""はなぜ起きるのか",ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:29,17179246901372000461,https://hinyan1016.hatenablog.com/entry/2026/04/07/104819,目がピクピクする ― 放置していいのか？ まぶたの痙攣を脳神経内科医が解説,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:32,17179246901374206438,https://hinyan1016.hatenablog.com/entry/2026/04/08/093518,プライベートクレジット問題とは？ 3兆ドル市場の構造リスクと今後のシナリオをわかりやすく解説,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:35,17179246901373914109,https://hinyan1016.hatenablog.com/entry/2026/04/07/153858,レベチラセタムの易刺激性・精神症状にビタミンB6は有効か？ エビデンス、使い方、ブリバラセタムとの選び分け,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:38,17179246901372000415,https://hinyan1016.hatenablog.com/entry/2026/04/07/052718,寝てる時にビクッとなるのはなぜ？ ― 「入眠時ミオクローヌス」の正体,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:41,17179246901372000400,https://hinyan1016.hatenablog.com/entry/2026/04/06/071409,なぜあくびはうつるのか？ ― ミラーニューロンと共感の脳科学,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:45,17179246901373115344,https://hinyan1016.hatenablog.com/entry/2026/04/05/131547,片側性舞踏病（hemichorea）の鑑別・画像所見・治療を整理する,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:48,17179246901372662349,https://hinyan1016.hatenablog.com/entry/2026/04/04/082109,パーキンソン病患者のビタミンB6管理｜レボドパ/カルビドパ時代に「避ける」ではなく「評価して補う」,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:51,17179246901371583907,https://hinyan1016.hatenablog.com/entry/2026/04/02/192008,片頭痛持ちが知っておくべき5つのこと ― 「我慢しない」ための知識,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:54,17179246901371246445,https://hinyan1016.hatenablog.com/entry/2026/03/31/171828,小脳梗塞後のリハビリテーション：エビデンスに基づく回復戦略と最新治療【KOSCO・NIBS・DBS・VR】,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:09:57,17179246901371022240,https://hinyan1016.hatenablog.com/entry/2026/03/31/001731,Tolosa-Hunt症候群（有痛性眼筋麻痺）：診断基準・鑑別診断・治療を徹底解説,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:10:00,17179246901370833624,https://hinyan1016.hatenablog.com/entry/2026/03/30/185614,若年ミオクロニーてんかん（JME）― 見逃されやすい思春期てんかんの診断と最新治療戦略,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:10:03,17179246901370893311,https://hinyan1016.hatenablog.com/entry/2026/03/30/185536,三叉神経痛 ― 神経内科医視点の鑑別診断と治療戦略,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:10:06,17179246901370572474,https://hinyan1016.hatenablog.com/entry/2026/03/29/192023,日本人はどこから来たのか？ — 最新ゲノム解析が明かす三重構造モデルと私たちのDNA,ok,置換 1件,1,ok: ISO 8601確認
2026-04-19 21:10:10,17179246901370554438,https://hinyan1016.hatenablog.com/entry/2026/03/29/184944,【2025-2026年】感染症の最新動向まとめ｜医療従事者が押さえるべき8つのトピック,ok,置換 1件,1,ok: ISO 8601確認
